Country,Region,Date,Age,Cases,Deaths
Chad,All,2020.10.21,5,3,0
Chad,All,2020.10.21,10,9,0
Chad,All,2020.10.21,15,41,0
Chad,All,2020.10.21,20,93,0
Chad,All,2020.10.21,25,156,0
Chad,All,2020.10.21,30,175,1
Chad,All,2020.10.21,35,140,3
Chad,All,2020.10.21,40,114,5
Chad,All,2020.10.21,45,102,8
Chad,All,2020.10.21,50,82,11
Chad,All,2020.10.21,55,64,12
Chad,All,2020.10.21,60,47,10
Chad,All,2020.10.21,65,36,9
Chad,All,2020.10.21,70,25,7
Chad,All,2020.10.21,75,21,7
Chad,All,2020.10.21,80,17,6
Chad,All,2020.10.21,85,11,4
Chad,All,2020.10.21,90,5,2
Chad,All,2020.10.21,95,2,0
Chad,All,2020.10.21,100,0,0
Chile,All,2021.03.12,0,21113,18
Chile,All,2021.03.12,5,21259,8
Chile,All,2021.03.12,10,27191,15
Chile,All,2021.03.12,15,45874,22
Chile,All,2021.03.12,20,86745,38
Chile,All,2021.03.12,25,119845,77
Chile,All,2021.03.12,30,116659,139
Chile,All,2021.03.12,35,94177,168
Chile,All,2021.03.12,40,80074,275
Chile,All,2021.03.12,45,80237,451
Chile,All,2021.03.12,50,76986,776
Chile,All,2021.03.12,55,71882,1330
Chile,All,2021.03.12,60,53744,1999
Chile,All,2021.03.12,65,36066,2453
Chile,All,2021.03.12,70,26302,2918
Chile,All,2021.03.12,75,19143,3163
Chile,All,2021.03.12,80,12658,3049
Chile,All,2021.03.12,85,7970,2597
Chile,All,2021.03.12,90,4438,1520
Chile,All,2021.03.12,95,1508,473
Chile,All,2021.03.12,100,415,85
China,All,2020.02.11,0,222,0
China,All,2020.02.11,5,193,0
China,All,2020.02.11,10,193,0
China,All,2020.02.11,15,355,0
China,All,2020.02.11,20,1068,2
China,All,2020.02.11,25,2550,4
China,All,2020.02.11,30,4179,8
China,All,2020.02.11,35,3420,9
China,All,2020.02.11,40,3644,12
China,All,2020.02.11,45,4926,25
China,All,2020.02.11,50,5323,51
China,All,2020.02.11,55,4684,78
China,All,2020.02.11,60,4237,117
China,All,2020.02.11,65,4345,191
China,All,2020.02.11,70,2541,173
China,All,2020.02.11,75,1376,138
China,All,2020.02.11,80,802,103
China,All,2020.02.11,85,404,64
China,All,2020.02.11,90,148,28
China,All,2020.02.11,95,43,10
China,All,2020.02.11,100,9,2
Colombia,All,2021.06.07,0,63252,87
Colombia,All,2021.06.07,5,71931,24
